Id,SalePrice
1461,133496.27
1462,154541.69
1463,184769.7
1464,197779.62
1465,187437.4
1466,171926.83
1467,170914.77
1468,164913.86
1469,188571.03
1470,121944.48
1471,195436.03
1472,91372.58
1473,100476.81
1474,153438.77
1475,134256.34
1476,367556.38
1477,261005.1
1478,308881.06
1479,299631.7
1480,446159.3
1481,334370.66
1482,208810.33
1483,167548.83
1484,167581.23
1485,182601.86
1486,195553.98
1487,349124.5
1488,223804.72
1489,216342.73
1490,226381.39
1491,192088.31
1492,85277.87
1493,179584.48
1494,285507.84
1495,293763.3
1496,229772.38
1497,174532.3
1498,159995.9
1499,156769.36
1500,158755.34
1501,176341.9
1502,156922.44
1503,303643.56
1504,234579.1
1505,228736.28
1506,196584.44
1507,248958.03
1508,199289.62
1509,162164.14
1510,146953.1
1511,148821.61
1512,166803.22
1513,139489.73
1514,161705.25
1515,193033.27
1516,147938.53
1517,156380.64
1518,130484.1
1519,217460.2
1520,136870.28
1521,144550.81
1522,170762.38
1523,115828.28
1524,128839.68
1525,124281.06
1526,122415.26
1527,108078.68
1528,134615.12
1529,146160.5
1530,168284.36
1531,114393.555
1532,96085.34
1533,146915.05
1534,118382.445
1535,143482.77
1536,112994.95
1537,75500.516
1538,154368.05
1539,199709.66
1540,99464.43
1541,148425.47
1542,145108.45
1543,217431.62
1544,79325.555
1545,107950.28
1546,128604.55
1547,129155.99
1548,136247.56
1549,113233.086
1550,149478.81
1551,104296.93
1552,145546.78
1553,148373.89
1554,119422.89
1555,160391.06
1556,80613.56
1557,91283.51
1558,81842.46
1559,79573.42
1560,146244.61
1561,143165.83
1562,127531.07
1563,120580.484
1564,152934.03
1565,149329.06
1566,232605.36
1567,67010.664
1568,228358.05
1569,142577.1
1570,130160.234
1571,127980.836
1572,147072.17
1573,249256.77
1574,87461.6
1575,218117.52
1576,231934.66
1577,200124.81
1578,135669.0
1579,145654.58
1580,192653.61
1581,147403.27
1582,127892.586
1583,317552.5
1584,225955.62
1585,139997.94
1586,67153.44
1587,94885.04
1588,163772.02
1589,100635.25
1590,134867.36
1591,103498.76
1592,110276.69
1593,123420.71
1594,141754.83
1595,114069.83
1596,252005.62
1597,178911.33
1598,210561.8
1599,177273.53
1600,171430.9
1601,69368.305
1602,113783.086
1603,88985.48
1604,272465.06
1605,240792.88
1606,164314.25
1607,186588.08
1608,216536.61
1609,197262.44
1610,154145.73
1611,140373.55
1612,178365.23
1613,161488.7
1614,120916.54
1615,83159.98
1616,69710.81
1617,91474.93
1618,131185.27
1619,134746.44
1620,152497.08
1621,136423.28
1622,140318.83
1623,292140.53
1624,222090.08
1625,121290.28
1626,167627.25
1627,190048.23
1628,286697.2
1629,181321.25
1630,339224.56
1631,224475.08
1632,254522.69
1633,175195.36
1634,190045.98
1635,184528.06
1636,154548.78
1637,181243.64
1638,191940.98
1639,183175.19
1640,263225.75
1641,177131.88
1642,219403.47
1643,214857.31
1644,230416.44
1645,195470.36
1646,161184.12
1647,151206.25
1648,131457.34
1649,140282.23
1650,116330.695
1651,129869.86
1652,97218.86
1653,99139.27
1654,149909.12
1655,144665.89
1656,146056.55
1657,151991.14
1658,146381.86
1659,135688.42
1660,150409.38
1661,429539.03
1662,393531.2
1663,396524.94
1664,411722.88
1665,322682.88
1666,327584.53
1667,384011.9
1668,327057.5
1669,297417.62
1670,346461.97
1671,257821.3
1672,426884.62
1673,303424.84
1674,250344.12
1675,194986.34
1676,197477.72
1677,226948.98
1678,420085.12
1679,381359.66
1680,328632.66
1681,265512.1
1682,307542.5
1683,175953.34
1684,166492.53
1685,175583.11
1686,171586.02
1687,178030.08
1688,190184.03
1689,194368.22
1690,186033.47
1691,178626.56
1692,280999.03
1693,178708.22
1694,188509.56
1695,166293.28
1696,275206.34
1697,173595.92
1698,382883.62
1699,323346.88
1700,237852.34
1701,259907.8
1702,242725.36
1703,247815.3
1704,291169.03
1705,227559.56
1706,392031.4
1707,232482.92
1708,215394.38
1709,268308.62
1710,218374.55
1711,259026.12
1712,234385.22
1713,271237.44
1714,229060.5
1715,214045.89
1716,183281.77
1717,169338.27
1718,133272.19
1719,200442.14
1720,232915.72
1721,167516.88
1722,126945.336
1723,154293.97
1724,209571.66
1725,242461.45
1726,195032.62
1727,162677.52
1728,183025.3
1729,170431.58
1730,157316.3
1731,118188.234
1732,130232.04
1733,116258.836
1734,117244.73
1735,127347.92
1736,117208.13
1737,337560.84
1738,224039.94
1739,279909.88
1740,218538.98
1741,198195.88
1742,181256.94
1743,176061.53
1744,301584.47
1745,229882.66
1746,228290.34
1747,214287.89
1748,225152.69
1749,159985.22
1750,136964.16
1751,238610.83
1752,119316.93
1753,137282.95
1754,192224.66
1755,170052.66
1756,129325.88
1757,124637.75
1758,132113.38
1759,169616.11
1760,162837.05
1761,137561.94
1762,165598.02
1763,173631.72
1764,111824.28
1765,172398.75
1766,167073.73
1767,205324.23
1768,144176.02
1769,166222.16
1770,145299.33
1771,132648.08
1772,124579.96
1773,129860.81
1774,136738.61
1775,131815.81
1776,123359.93
1777,118257.97
1778,131789.2
1779,121037.11
1780,182483.16
1781,133647.14
1782,93436.39
1783,137968.8
1784,105289.164
1785,127327.734
1786,142334.88
1787,168124.5
1788,51257.81
1789,89158.734
1790,77354.79
1791,185043.31
